SuperstructureState, PDPVoltage, PDPTotalPower, PDPTemp, timestamp
IDLE, 0.0, 0.0, 0.0, 589.920804
IDLE, 0.0, 0.0, 0.0, 589.948727
IDLE, 0.0, 0.0, 0.0, 589.969132
IDLE, 0.0, 0.0, 0.0, 589.992962
IDLE, 0.0, 0.0, 0.0, 590.017719
IDLE, 0.0, 0.0, 0.0, 590.048442
IDLE, 0.0, 0.0, 0.0, 590.069721
IDLE, 0.0, 0.0, 0.0, 590.107467
IDLE, 0.0, 0.0, 0.0, 590.12928
IDLE, 0.0, 0.0, 0.0, 590.148566
IDLE, 0.0, 0.0, 0.0, 590.177884
IDLE, 0.0, 0.0, 0.0, 590.206022
IDLE, 0.0, 0.0, 0.0, 590.228237
IDLE, 0.0, 0.0, 0.0, 590.253251
IDLE, 0.0, 0.0, 0.0, 590.279697
IDLE, 0.0, 0.0, 0.0, 590.308033
IDLE, 0.0, 0.0, 0.0, 590.331522
IDLE, 0.0, 0.0, 0.0, 590.354944
IDLE, 0.0, 0.0, 0.0, 590.382912
IDLE, 0.0, 0.0, 0.0, 590.408221
IDLE, 0.0, 0.0, 0.0, 590.432613
IDLE, 0.0, 0.0, 0.0, 590.462167
IDLE, 0.0, 0.0, 0.0, 590.495495
IDLE, 0.0, 0.0, 0.0, 590.531397
IDLE, 0.0, 0.0, 0.0, 590.553707
IDLE, 0.0, 0.0, 0.0, 590.582181
IDLE, 0.0, 0.0, 0.0, 590.607206
IDLE, 0.0, 0.0, 0.0, 590.632093
IDLE, 0.0, 0.0, 0.0, 590.66065
IDLE, 0.0, 0.0, 0.0, 590.690702
IDLE, 0.0, 0.0, 0.0, 590.712163
IDLE, 0.0, 0.0, 0.0, 590.737758
IDLE, 0.0, 0.0, 0.0, 590.764848
IDLE, 0.0, 0.0, 0.0, 590.792167
IDLE, 0.0, 0.0, 0.0, 590.820147
IDLE, 0.0, 0.0, 0.0, 590.849229
IDLE, 0.0, 0.0, 0.0, 590.874487
IDLE, 0.0, 0.0, 0.0, 590.900437
IDLE, 0.0, 0.0, 0.0, 590.926955
IDLE, 0.0, 0.0, 0.0, 590.949393
IDLE, 0.0, 0.0, 0.0, 590.972903
IDLE, 0.0, 0.0, 0.0, 590.999224
IDLE, 0.0, 0.0, 0.0, 591.028838
IDLE, 0.0, 0.0, 0.0, 591.051799
IDLE, 0.0, 0.0, 0.0, 591.0785
IDLE, 0.0, 0.0, 0.0, 591.101947
IDLE, 0.0, 0.0, 0.0, 591.12996
IDLE, 0.0, 0.0, 0.0, 591.151191
IDLE, 0.0, 0.0, 0.0, 591.174107
IDLE, 0.0, 0.0, 0.0, 591.201458
IDLE, 0.0, 0.0, 0.0, 591.229549
IDLE, 0.0, 0.0, 0.0, 591.257538
IDLE, 0.0, 0.0, 0.0, 591.284843
IDLE, 0.0, 0.0, 0.0, 591.315966
IDLE, 0.0, 0.0, 0.0, 591.342768
IDLE, 0.0, 0.0, 0.0, 591.371019
IDLE, 0.0, 0.0, 0.0, 591.404806
IDLE, 0.0, 0.0, 0.0, 591.430592
IDLE, 0.0, 0.0, 0.0, 591.463521
IDLE, 0.0, 0.0, 0.0, 591.491928
IDLE, 0.0, 0.0, 0.0, 591.525446
IDLE, 0.0, 0.0, 0.0, 591.548494
IDLE, 0.0, 0.0, 0.0, 591.570449
IDLE, 0.0, 0.0, 0.0, 591.593907
IDLE, 0.0, 0.0, 0.0, 591.620411
IDLE, 0.0, 0.0, 0.0, 591.649696
IDLE, 0.0, 0.0, 0.0, 591.673795
IDLE, 0.0, 0.0, 0.0, 591.702106
IDLE, 0.0, 0.0, 0.0, 591.725701
IDLE, 0.0, 0.0, 0.0, 591.751284
IDLE, 0.0, 0.0, 0.0, 591.779215
IDLE, 0.0, 0.0, 0.0, 591.804112
IDLE, 0.0, 0.0, 0.0, 591.828064
IDLE, 0.0, 0.0, 0.0, 591.852556
IDLE, 0.0, 0.0, 0.0, 591.882681
IDLE, 0.0, 0.0, 0.0, 591.91224
IDLE, 0.0, 0.0, 0.0, 591.937863
IDLE, 0.0, 0.0, 0.0, 591.966001
IDLE, 0.0, 0.0, 0.0, 591.992394
